PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH
0,Arctic Transportation,BET,"Bethel, AK",KUK,"Kasigluk, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",KWK,"Kwigillingok, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",KWN,"Quinhagak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",MLL,"Marshall, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",MYU,"Mekoryuk, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",NME,"Nightmute, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",OOK,"Toksook, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",PKA,"Napaskiak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",PTU,"Platinum, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",SCM,"Scammon Bay, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",TNK,"Tununak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",VAK,"Chevak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",WTL,"Tuntutuliak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",WWT,"Newtok, AK",1
,,,,,,
0,Arctic Transportation,BKC,"Buckland, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Arctic Transportation,CHU,"Chuathbaluk, AK",ANI,"Aniak, AK",1
,,,,,,
0,Arctic Transportation,CKD,"Crooked Creek, AK",ANI,"Aniak, AK",1
,,,,,,
0,Arctic Transportation,CYF,"Chefornak, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,EEK,"Eek, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,EMK,"Emmonak, AK",AUK,"Alakanuk, AK",1
,,,,,,
0,Arctic Transportation,EMK,"Emmonak, AK",KOT,"Kotlik, AK",1
,,,,,,
0,Arctic Transportation,EMK,"Emmonak, AK",SXP,"Sheldon Point, AK",1
,,,,,,
0,Arctic Transportation,GAM,"Gambell, AK",OME,"Nome, AK",1
,,,,,,
0,Arctic Transportation,GNU,"Goodnews Bay, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,HCR,"Holy Cross, AK",ANI,"Aniak, AK",1
,,,,,,
0,Arctic Transportation,HPB,"Hooper Bay, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,IAN,"Kiana, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Arctic Transportation,KKH,"Kongiganak, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,KOT,"Kotlik, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,KPN,"Kipnuk, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,KSM,"St. Mary's, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,KSM,"St. Mary's, AK",MOU,"Mountain Village, AK",1
,,,,,,
0,Arctic Transportation,KSM,"St. Mary's, AK",PQS,"Pilot Station, AK",1
,,,,,,
0,Arctic Transportation,KTS,"Brevig Mission, AK",OME,"Nome, AK",1
,,,,,,
